Word,Lemma_saved_factor_analysis,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
abolishes,abolish,abolishe,NOUN,abolishes,abolish,Verb,1,Step 1: SUBTLEX-UK,abolish,False,abolish
acorns,acorn,acorns,PROPN,acorns,acorn,Noun,1,Step 1: SUBTLEX-UK,acorn,False,acorn
advanced,advanced,advance,VERB,advanced,advanced,Adjective,1,Step 1: SUBTLEX-UK,advanced,False,advanced
affording,afford,affording,ADJ,affording,afford,Verb,1,Step 1: SUBTLEX-UK,afford,False,afford
aged,age,aged,ADJ,aged,age,Verb,1,Step 1: SUBTLEX-UK,age,False,age
annoying,annoy,annoying,ADJ,annoying,annoy,Adjective,1,Step 1: SUBTLEX-UK,annoy,False,annoy
antennae,antenna,antennae,NOUN,antennae,antenna,Noun,1,Step 1: SUBTLEX-UK,antenna,False,antenna
aped,ape,aped,VERB,aped,ape,,1,Step 1: SUBTLEX-UK,ape,False,ape
arched,arched,arch,VERB,arched,arched,Adjective,1,Step 1: SUBTLEX-UK,arched,False,arched
aromas,aroma,aromas,PROPN,aromas,aroma,Noun,1,Step 1: SUBTLEX-UK,aroma,False,aroma
arrowed,arrow,arrowe,VERB,arrowed,arrow,,1,Step 1: SUBTLEX-UK,arrow,False,arrow
ashes,ash,ashe,NOUN,ashes,ash,Noun,1,Step 1: SUBTLEX-UK,ash,False,ash
athletics,athletics,athletic,NOUN,athletics,athletics,Noun,1,Step 1: SUBTLEX-UK,athletics,False,athletics
attaches,attach,attache,NOUN,attaches,attach,Verb,1,Step 1: SUBTLEX-UK,attach,False,attach
auditoria,auditorium,auditoria,PROPN,auditoria,auditorium,,1,Step 1: SUBTLEX-UK,auditorium,False,auditorium
bacteria,bacterium,bacteria,NOUN,bacteria,bacterium,Noun,1,Step 1: SUBTLEX-UK,bacterium,False,bacterium
bade,bid,bade,NOUN,bade,bid,Verb,1,Step 1: SUBTLEX-UK,bid,False,bid
balconied,balcony,balconie,VERB,balconied,balcony,,1,Step 1: SUBTLEX-UK,balcony,False,balcony
barbed,barbed,barb,VERB,barbed,barbed,Adjective,1,Step 1: SUBTLEX-UK,barbed,False,barbed
barefooted,barefoot,barefoote,VERB,barefooted,barefoot,Adjective,1,Step 1: SUBTLEX-UK,barefoot,False,barefoot
bathed,bath,bathe,VERB,bathed,bath,Verb,1,Step 1: SUBTLEX-UK,bath,False,bath
bathing,bathing,bathe,VERB,bathing,bathing,Adjective,1,Step 1: SUBTLEX-UK,bathing,False,bathing
bedding,bedding,bed,VERB,bedding,bedding,Noun,1,Step 1: SUBTLEX-UK,bedding,False,bedding
beefed,beef,beefed,PROPN,beefed,beef,Verb,1,Step 1: SUBTLEX-UK,beef,False,beef
beginning,beginning,begin,VERB,beginning,beginning,Noun,1,Step 1: SUBTLEX-UK,beginning,False,beginning
bi,bus,bi,PROPN,bi,bus,Noun,1,Step 1: SUBTLEX-UK,bus,False,bus
bidden,bid,bidden,PROPN,bidden,bid,Verb,1,Step 1: SUBTLEX-UK,bid,False,bid
binding,binding,bind,VERB,binding,binding,Adjective,1,Step 1: SUBTLEX-UK,binding,False,binding
blesses,bless,blesse,NOUN,blesses,bless,Verb,1,Step 1: SUBTLEX-UK,bless,False,bless
bloomed,bloom,bloomed,VERB,bloomed,bloom,Verb,1,Step 1: SUBTLEX-UK,bloom,False,bloom
blossoming,blossom,blossoming,NOUN,blossoming,blossom,Verb,1,Step 1: SUBTLEX-UK,blossom,False,blossom
boarding,board,boarding,NOUN,boarding,board,Noun,1,Step 1: SUBTLEX-UK,board,False,board
bogged,bog,bogge,VERB,bogged,bog,Verb,1,Step 1: SUBTLEX-UK,bog,False,bog
bookkeeping,bookkeeping,bookkeepe,VERB,bookkeeping,bookkeeping,Noun,1,Step 1: SUBTLEX-UK,bookkeeping,False,bookkeeping
bore,bear,bore,PROPN,bore,bear,Verb,1,Step 1: SUBTLEX-UK,bear,False,bear
borne,bear,borne,VERB,borne,bear,Verb,1,Step 1: SUBTLEX-UK,bear,False,bear
bottomed,bottom,bottomed,ADJ,bottomed,bottom,Verb,1,Step 1: SUBTLEX-UK,bottom,False,bottom
boycotts,boycott,boycotts,PROPN,boycotts,boycott,Noun,1,Step 1: SUBTLEX-UK,boycott,False,boycott
brandies,brandy,brandie,VERB,brandies,brandy,Noun,1,Step 1: SUBTLEX-UK,brandy,False,brandy
bricking,brick,bricke,VERB,bricking,brick,Verb,1,Step 1: SUBTLEX-UK,brick,False,brick
brimmed,brim,brimmed,VERB,brimmed,brim,,1,Step 1: SUBTLEX-UK,brim,False,brim
browed,brow,browe,VERB,browed,brow,,1,Step 1: SUBTLEX-UK,brow,False,brow
building,building,build,VERB,building,building,Noun,1,Step 1: SUBTLEX-UK,building,False,building
bulbs,bulb,bulbs,PROPN,bulbs,bulb,Noun,1,Step 1: SUBTLEX-UK,bulb,False,bulb
bunches,bunch,bunche,NOUN,bunches,bunch,Noun,1,Step 1: SUBTLEX-UK,bunch,False,bunch
bunching,bunch,bunching,NOUN,bunching,bunch,Verb,1,Step 1: SUBTLEX-UK,bunch,False,bunch
bureaus,bureau,bureaus,PROPN,bureaus,bureau,Noun,1,Step 1: SUBTLEX-UK,bureau,False,bureau
buries,bury,burie,NOUN,buries,bury,Verb,1,Step 1: SUBTLEX-UK,bury,False,bury
busies,busy,busie,NOUN,busies,busy,Verb,1,Step 1: SUBTLEX-UK,busy,False,busy
calamities,calamity,calamitie,VERB,calamities,calamity,Noun,1,Step 1: SUBTLEX-UK,calamity,False,calamity
caravanned,caravan,caravanne,VERB,caravanned,caravan,,1,Step 1: SUBTLEX-UK,caravan,False,caravan
cargoes,cargo,cargoe,VERB,cargoes,cargo,Noun,1,Step 1: SUBTLEX-UK,cargo,False,cargo
carpeting,carpeting,carpet,VERB,carpeting,carpeting,Noun,1,Step 1: SUBTLEX-UK,carpeting,False,carpeting
celled,cell,celle,VERB,celled,cell,,1,Step 1: SUBTLEX-UK,cell,False,cell
chested,chest,cheste,VERB,chested,chest,Verb,1,Step 1: SUBTLEX-UK,chest,False,chest
circuses,circus,circuse,VERB,circuses,circus,Noun,1,Step 1: SUBTLEX-UK,circus,False,circus
citrus,citrus,citru,NOUN,citrus,citrus,Noun,1,Step 1: SUBTLEX-UK,citrus,False,citrus
clad,clad,clothe,VERB,clad,clad,Verb,1,Step 1: SUBTLEX-UK,clad,False,clad
clarifies,clarify,clarifie,NOUN,clarifies,clarify,Verb,1,Step 1: SUBTLEX-UK,clarify,False,clarify
classifies,classify,classifie,NOUN,classifies,classify,Verb,1,Step 1: SUBTLEX-UK,classify,False,classify
climaxes,climax,climaxes,PROPN,climaxes,climax,Verb,1,Step 1: SUBTLEX-UK,climax,False,climax
cling,cling,cle,VERB,cling,cling,Verb,1,Step 1: SUBTLEX-UK,cling,False,cling
clouded,cloud,clouded,ADJ,clouded,cloud,Verb,1,Step 1: SUBTLEX-UK,cloud,False,cloud
clumped,clump,clumped,VERB,clumped,clump,Verb,1,Step 1: SUBTLEX-UK,clump,False,clump
clumping,clump,clumping,NOUN,clumping,clump,Verb,1,Step 1: SUBTLEX-UK,clump,False,clump
clung,cling,clung,PROPN,clung,cling,Verb,1,Step 1: SUBTLEX-UK,cling,False,cling
cluttered,clutter,cluttered,ADJ,cluttered,clutter,Verb,1,Step 1: SUBTLEX-UK,clutter,False,clutter
coating,coating,coat,VERB,coating,coating,Noun,1,Step 1: SUBTLEX-UK,coating,False,coating
cocoas,cocoa,cocoas,NOUN,cocoas,cocoa,Noun,1,Step 1: SUBTLEX-UK,cocoa,False,cocoa
collared,collar,collared,ADJ,collared,collar,Verb,1,Step 1: SUBTLEX-UK,collar,False,collar
columned,column,columne,VERB,columned,column,,1,Step 1: SUBTLEX-UK,column,False,column
comics,comic,comic_strip,NOUN,comics,comic,Noun,1,Step 1: SUBTLEX-UK,comic,False,comic
commanding,commanding,command,VERB,commanding,commanding,Adjective,1,Step 1: SUBTLEX-UK,commanding,False,commanding
complies,comply,complie,NOUN,complies,comply,Verb,1,Step 1: SUBTLEX-UK,comply,False,comply
confesses,confess,confesse,NOUN,confesses,confess,Verb,1,Step 1: SUBTLEX-UK,confess,False,confess
contents,contents,content,NOUN,contents,contents,Noun,1,Step 1: SUBTLEX-UK,contents,False,contents
coped,cope,coped,VERB,coped,cope,Verb,1,Step 1: SUBTLEX-UK,cope,False,cope
cornered,corner,cornered,ADJ,cornered,corner,Verb,1,Step 1: SUBTLEX-UK,corner,False,corner
cribbed,crib,cribbed,VERB,cribbed,crib,Verb,1,Step 1: SUBTLEX-UK,crib,False,crib
crooked,crooked,crook,VERB,crooked,crooked,Adjective,1,Step 1: SUBTLEX-UK,crooked,False,crooked
crosses,cross,crosse,NOUN,crosses,cross,Verb,1,Step 1: SUBTLEX-UK,cross,False,cross
cunning,cunning,cunne,VERB,cunning,cunning,Adjective,1,Step 1: SUBTLEX-UK,cunning,False,cunning
dairying,dairy,dairye,VERB,dairying,dairy,,1,Step 1: SUBTLEX-UK,dairy,False,dairy
damped,damp,damped,VERB,damped,damp,,1,Step 1: SUBTLEX-UK,damp,False,damp
daring,daring,dare,VERB,daring,daring,Adjective,1,Step 1: SUBTLEX-UK,daring,False,daring
darkens,darken,darkens,PROPN,darkens,darken,Verb,1,Step 1: SUBTLEX-UK,darken,False,darken
deceased,deceased,decease,VERB,deceased,deceased,Adjective,1,Step 1: SUBTLEX-UK,deceased,False,deceased
decreed,decree,decreed,VERB,decreed,decree,Verb,1,Step 1: SUBTLEX-UK,decree,False,decree
dedicated,dedicate,dedicated,ADJ,dedicated,dedicate,Verb,1,Step 1: SUBTLEX-UK,dedicate,False,dedicate
delighted,delighted,delight,VERB,delighted,delighted,Adjective,1,Step 1: SUBTLEX-UK,delighted,False,delighted
dens,den,dens,VERB,dens,den,Noun,1,Step 1: SUBTLEX-UK,den,False,den
devouring,devour,devouring,ADJ,devouring,devour,Verb,1,Step 1: SUBTLEX-UK,devour,False,devour
dignified,dignified,dignify,VERB,dignified,dignified,Adjective,1,Step 1: SUBTLEX-UK,dignified,False,dignified
dilemmas,dilemma,dilemmas,PROPN,dilemmas,dilemma,Noun,1,Step 1: SUBTLEX-UK,dilemma,False,dilemma
dining,dining,dine,VERB,dining,dining,Noun,1,Step 1: SUBTLEX-UK,dining,False,dining
dirties,dirty,dirtie,NOUN,dirties,dirty,Verb,1,Step 1: SUBTLEX-UK,dirty,False,dirty
dirtying,dirty,dirtying,NOUN,dirtying,dirty,Verb,1,Step 1: SUBTLEX-UK,dirty,False,dirty
diseased,diseased,disease,VERB,diseased,diseased,Adjective,1,Step 1: SUBTLEX-UK,diseased,False,diseased
disgusting,disgust,disgusting,VERB,disgusting,disgust,Adjective,1,Step 1: SUBTLEX-UK,disgust,False,disgust
dished,dish,dished,ADJ,dished,dish,Verb,1,Step 1: SUBTLEX-UK,dish,False,dish
dismays,dismay,dismays,ADP,dismays,dismay,,1,Step 1: SUBTLEX-UK,dismay,False,dismay
distinguishes,distinguish,distinguishe,NOUN,distinguishes,distinguish,Verb,1,Step 1: SUBTLEX-UK,distinguish,False,distinguish
divorced,divorce,divorced,ADJ,divorced,divorce,Verb,1,Step 1: SUBTLEX-UK,divorce,False,divorce
documenting,document,documenting,NOUN,documenting,document,Verb,1,Step 1: SUBTLEX-UK,document,False,document
dodged,dodge,dodged,ADJ,dodged,dodge,Verb,1,Step 1: SUBTLEX-UK,dodge,False,dodge
downwards,downward,downwards,ADV,downwards,downward,Adverb,1,Step 1: SUBTLEX-UK,downward,False,downward
drank,drink,drank,VERB,drank,drink,Verb,1,Step 1: SUBTLEX-UK,drink,False,drink
